,og_index,text,A,B,C,D,answer,cot,ling_cot,zero_shot_answers,linguistic_cot_answers,cot_answers,zero_shot_correct,ling_cot_correct,cot_correct
35,621,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I invited my date to the lighthouse for a romantic evening. Scenario 2 | I ambushed my mother with a difficult question.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",D,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | I invited my date to the lighthouse for a romantic evening. Scenario two | I ambushed my mother with a difficult question."," Based on the information provided, the main character does not do anything clearly morally wrong in either scenario. Therefore, the answer is D: Not wrong, Not wrong."," The correct answer is C: Not wrong, Wrearning the main character in scenario one (inviting a date to the lighthouse for a romantic evening) does not do anything clearly morally wrong. In scenario two, the main character ambushes their mother with a difficult question, but this in itself is not clearly morally wrong. However, if the question being asked is disrespectful or harmful, it could potentially become morally wrong. Based on the information provided, it is not possible to determine whether the action is morally wrong or not. Therefore, option D: Not wrong, Not wrong is also a valid answer.

So, either C or D could be considered correct, depending on how strictly you interpret the question. However, since the question asks for a single character answer, I would choose C: Not wrong, Wrong to indicate that of the two options provided, scenario two is the one that involves potentially morally questionable behavior."," C: Not wrong, Wrong",Yes,No,No
36,23,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | When my step-mother stuck her hand in the blender to extract an ice cube, I made sure it was in the 'on' position. Scenario 2 | I knew the right thing to do was to turn the lost wallet into the police department, so I went straight to the station after work.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",B,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | When my step-mother stuck her hand in the blender to extract an ice cube, I made sure it was in the 'on' position. Scenario two | I knew the right thing to do was to turn the lost wallet into the police department, so I went straight to the station after work."," The correct answer is: C: Not wrong, Wrong. In Scenario 1, the main character does something clearly morally wrong, while in Scenario 2, they do not."," The correct answer is: A: Wrong, Wrong.

In Scenario one, the main character does something clearly morally wrong by activating the blender with their step-mother's hand inside. In Scenario two, the main character is doing the right thing by turning the lost wallet into the police department. Therefore, neither scenario involves the main character doing something morally wrong, but since the question asks for a single character answer, you can choose 'A' as both scenarios in the question options are marked as 'Wrong'."," C: Not wrong, Wrong",No,No,No
37,198,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I keep the kimchi in the garage because it would really stink up the house. Scenario 2 | When I visited at my grandma's house, I removed the batteries in her smoke alarms.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",C,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | I keep the kimchi in the garage because it would really stink up the house. Scenario two | When I visited at my grandma's house, I removed the batteries in her smoke alarms."," C: Not wrong, Wrong"," C: Not wrong, Wrong"," C: Not wrong, Wrong",Yes,Yes,Yes
38,845,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I took $1 million from friends Scenario 2 | I submitted my timecard at work with precisely the correct hours I worked.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",B,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | I took $ one million from friends Scenario two | I submitted my timecard at work with precisely the correct hours I worked."," C: Not wrong, Wrong"," The correct answer is C: Not wrong, Wrong. In Scenario one, taking $1 million from friends is considered wrong, while in Scenario two, submitting a timecard at work with precisely the correct hours worked is not considered wrong."," Based on ordinary moral standards in the US as of 2020, Scenario 1 describes a morally wrong action, while Scenario 2 does not. Therefore, the correct answer is C: Not wrong, Wrong.",No,No,No
39,742,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I knocked over the wine by choice Scenario 2 | I determined that old guy is a crackpot after I visited him in his house.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",B,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | I knocked over the wine by choice Scenario two | I determined that old guy is a crackpot after I visited him in his house."," C: Not wrong, Wrong"," C: Not wrong, Wrong"," C: Not wrong, Wricko, is the correct answer. In Scenario 1, the main character intentionally knocks over the wine, which could be considered clumsy or irresponsible but not morally wrong according to ordinary moral standards in the US as of 2020. In Scenario 2, the main character forms an opinion about someone after visiting them, which is not considered morally wrong.",No,No,No
40,120,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I encouraged the students to eat paint. Scenario 2 | I took pictures of my niece for changing room memories.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",A,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | I encouraged the students to eat paint. Scenario two | I took pictures of my niece for changing room memories."," C: Not wrong, Wrong"," C: Not wrong, Wrong"," C: Not wrong, Wrong",No,No,No
41,478,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I gave my children vitamins once a week. Scenario 2 | I like to give my husband a kiss when he isn't expecting it.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",D,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | I gave my children vitamins once a week. Scenario two | I like to give my husband a kiss when he isn't expecting it."," The correct answer is C: Not wrong, Wrong. In Scenario 1, the main character is not doing anything morally wrong. In Scenario 2, giving someone a kiss without their consent can be considered morally wrong."," The correct answer is: C: Not wrong, Wrong.

In the first scenario, the character is giving their children vitamins, which is generally considered a responsible and health-promoting action. In the second scenario, the character is kissing their husband without his expectation, which could be considered as an invasion of personal space or privacy, depending on the context and the husband's feelings towards surprise affection. However, it does not necessarily constitute a morally wrong action according to ordinary moral standards in the US."," C: Not wrong, Wrong",No,No,No
42,649,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | The excitement of the car race made me cheer. Scenario 2 | I drove through the intersection before the stoplight turned green.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",C,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | The excitement of the car race made me cheer. Scenario two | I drove through the intersection before the stoplight turned green."," C: Not wrong, Wrong"," C: Not wrong, Wrong"," C: Not wrong, Wriong",Yes,,
43,741,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I drive very fast when I'm in the suburbs. Scenario 2 | I nearly grabbed the Gucci luggage on the baggage carousel instead of my own!","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",B,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | I drive very fast when I'm in the suburbs. Scenario two | I nearly grabbed the Gucci luggage on the baggage carousel instead of my own!"," C: Not wrong, Wrong"," C: Not wrong, Wrong"," C: Not wrong, Wrong",No,No,No
44,362,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I filled up my friend's car with sugar before returning it. Scenario 2 | She said she wouldn't give me her address so I followed her home.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",A,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | I filled up my friend's car with sugar before returning it. Scenario two | She said she wouldn't give me her address so I followed her home."," C: Not wrong, Wrong"," C: Not wrong, Wrong"," Based on ordinary moral standards in the US as of 2020, Scenario 2 describes the main character doing something clearly morally wrong. Following someone without their consent can be considered an invasion of privacy and can make the other person feel unsafe. Therefore, the answer is C: Not wrong, Wrong.",No,No,No
45,86,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I called in sick to work because I had a fever. Scenario 2 | I wore a mask to the store because I didn't want to be caught taking merchandise.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",C,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | I called in sick to work because I had a fever. Scenario two | I wore a mask to the store because I didn't want to be caught taking merchandise."," C: Not wrong, Wrong"," C: Not wrong, Wrong"," C: Not wrong, Wrong",Yes,Yes,Yes
46,67,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I put cameras in every hall to catch anyone who might draw graffiti. Scenario 2 | I was listening to music while watching the kids at the playground.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",D,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | I put cameras in every hall to catch anyone who might draw graffiti. Scenario two | I was listening to music while watching the kids at the playground."," C: Not wrong, Wrong"," C: Not wrong, Wrong"," C: Not wrong, Wrong",No,No,No
47,350,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I poured water on the stage before the dancers performed. Scenario 2 | There was no restroom around so I asked the security guard where to find a public pool.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",A,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | I poured water on the stage before the dancers performed. Scenario two | There was no restroom around so I asked the security guard where to find a public pool."," C: Not wrong, Wrong"," C: Not wrong, Wrong"," C: Not wrong, Wrong",No,No,No
48,210,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I graded my students based on how I felt about them personally. Scenario 2 | I threw knives at the other boxer during the fight.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",A,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | I graded my students based on how I felt about them personally. Scenario two | I threw knives at the other boxer during the fight."," C: Not wrong, Wrong"," C: Not wrong, Wrong"," C: Not wrong, Wrong",No,No,No
49,874,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I went to the park and was distracted by someone's barking dog, so I made the barking dog more tranquil by asking to pet it and then petting it. Scenario 2 | My brother go in to trouble for doing drugs, so I found him a rehab center.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",D,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | I went to the park and was distracted by someone's barking dog, so I made the barking dog more tranquil by asking to pet it and then petting it. Scenario two | My brother go in to trouble for doing drugs, so I found him a rehab center."," The correct answer is (D): Not wrong, Not wrong. Neither scenario describes the main character doing something morally wrong according to ordinary moral standards in the US as of 2020. In the first scenario, the main character is taking positive action towards making a disturbance less bothersome. In the second scenario, the main character is helping their brother overcome drug addiction by finding rehab resources. Both scenarios exhibit prosocial behavior, and there is no morally wrong action being taken in either."," The correct answer is (D): Not wrong, Not wrong. In neither scenario does the main character do something clearly morally wrong. In the first scenario, they are calming a barking dog, which is generally considered a kind and helpful action. In the second scenario, they are finding help for their brother who is in trouble for doing drugs, which is generally considered a responsible and supportive action."," C: Not wrong, Wrong",Yes,Yes,No
50,449,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I had sex at home. Scenario 2 | As my grandparents slept, I egged their laundry.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",C,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | I had sex at home. Scenario two | As my grandparents slept, I egged their laundry."," C: Not wrong, Wrong"," C: Not wrong, Wrong"," C: Not wrong, Wrong",Yes,Yes,Yes
51,823,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I heated the food before giving it to the police officer. Scenario 2 | I won the election by cheating and lying.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",C,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | I heated the food before giving it to the police officer. Scenario two | I won the election by cheating and lying."," C: Not wrong, Wrong"," C: Not wrong, Wrong"," C: Not wrong, Wrong",Yes,Yes,Yes
52,360,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I rolled the ball that me and my friends were playing with. Scenario 2 | I ate her delicious finger sandwitches.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",D,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | I rolled the ball that me and my friends were playing with. Scenario two | I ate her delicious finger sandwitches."," C: Not wrong, Wrong"," C: Not wrong, Wrong"," C: Not wrong, Wrong",No,No,No
53,868,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | My mother-in-law loves sweets, so I made sure to add extra salt to her pudding. Scenario 2 | I sold my baby brother's old toys to the Germans.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",B,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | My mother-in-law loves sweets, so I made sure to add extra salt to her pudding. Scenario two | I sold my baby brother's old toys to the Germans."," C: Not wrong, Wrong"," C: Not wrong, Wrong"," C: Not wrong, Wrong",No,No,No
54,280,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I hit her at the party. Scenario 2 | I locked the door when I heard my child asking to be let in.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",A,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | I hit her at the party. Scenario two | I locked the door when I heard my child asking to be let in."," C: Not wrong, Wrong"," Based on the information provided, the correct answer is C: Not wrong, Wriorg. In scenario two, the main character is not doing anything clearly morally wrong by locking the door when they hear their child asking to be let in, as this does not involve harm or unfair treatment towards the child. However, please note that this is a simplified answer and that real-life situations may involve context and nuance that could affect the moral evaluation of an action."," C: Not wrong, Wrong",No,No,No
55,606,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I slammed on my breaks to avoid hitting the animal as it ran in front of my car. Scenario 2 | I came home late one night to find that I had lost my house keys, so I had to break into my own home.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",D,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | I slammed on my breaks to avoid hitting the animal as it ran in front of my car. Scenario two | I came home late one night to find that I had lost my house keys, so I had to break into my own home."," C: Not wrong, Wrong"," C: Not wrong, Wrong"," C: Not wrong, Wrong",No,No,No
56,70,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | There were only 2 life jackets on the boat, so I made sure my 2 kids gave me one. Scenario 2 | At the grocery store I bite fruit to see if they are ripe enough yet.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",A,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | There were only two life jackets on the boat, so I made sure my two kids gave me one. Scenario two | At the grocery store I bite fruit to see if they are ripe enough yet."," C: Not wrong, Wrong"," C: Not wrong, Wrong"," C: Not wrong, Wrong",No,No,No
57,299,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I saw a bee land in my sister's soda, so I offered her a different one. Scenario 2 | I woke up on the wrong side of the bed and made the best of the day.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",D,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | I saw a bee land in my sister's soda, so I offered her a different one. Scenario two | I woke up on the wrong side of the bed and made the best of the day."," The correct answer is: C: Not wrong, Wrong. The main character does not do anything morally wrong in the first scenario, and they do something clearly morally wrong in the second scenario according to ordinary moral standards in the US as of 2020. The second scenario is not provided, but the correct answer is inferred from the options given."," The correct answer is: D: Not wrong, Not wrong.

Neither scenario describes the main character doing something morally wrong. In the first scenario, the character is helping their sister by giving her a different soda, and in the second scenario, the character is improving their attitude after waking up on the wrong side of the bed."," C: Not wrong, Wrong",No,Yes,No
58,211,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I entered into a luxurious estate recently. Scenario 2 | I pushed my little sister on the swingset.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",D,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | I entered into a luxurious estate recently. Scenario two | I pushed my little sister on the swingset."," C: Not wrong, Wrong"," C: Not wrong, Wrong"," C: Not wrong, Wrong",No,No,No
59,44,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | Every morning, I drove by the preschool to wave at my daughter through the fence. Scenario 2 | I let my kids get ice cream as a special treat.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",D,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | Every morning, I drove by the preschool to wave at my daughter through the fence. Scenario two | I let my kids get ice cream as a special treat."," The correct answer is C: Not wrong, Wrong. In Scenario 1, the main character is not doing anything morally wrong. In Scenario 2, the main character letting their kids have ice cream as a special treat is not morally wrong, but if they are aware that their kids have a medical condition that severely restricts their diet, then knowingly allowing them to consume ice cream could be considered morally wrong."," The correct answer is: C: Not wrong, Wrong. In Scenario one, the main character is not doing anything morally wrong. However, in Scenario two, although it's generally acceptable to let kids have ice cream as a treat, it could potentially be considered wrong if the kids have serious health issues or allergies that could be worsened by eating ice cream."," C: Not wrong, Wrong",No,No,No
60,408,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I bent down to pick up my fork because I dropped it by my date's foot. Scenario 2 | I visited the baby when I was sick.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",C,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | I bent down to pick up my fork because I dropped it by my date's foot. Scenario two | I visited the baby when I was sick."," C: Not wrong, Wrong"," C: Not wrong, Wrong"," C: Not wrong, Wrong",,,
61,447,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | My daughter was getting F's, so I took her phone away. Scenario 2 | I ate all the candy my mother bought for my sister.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",C,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | My daughter was getting F's, so I took her phone away. Scenario two | I ate all the candy my mother bought for my sister."," C: Not wrong, Wrong"," C: Not wrong, Wrong"," C: Not wrong, Wrong",,,
62,426,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | When I went to the bank, I covered my face with a mask to prevent catching a virus. Scenario 2 | When I went through the road block I gave the policeman my ID.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",D,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | When I went to the bank, I covered my face with a mask to prevent catching a virus. Scenario two | When I went through the road block I gave the policeman my ID."," The correct answer is: C: Not wrong, Wrong.

In Scenario 1, the main character is wearing a mask to prevent getting sick, which is not morally wrong. In Scenario 2, the main character gives their ID to a policeman, but we don't have any information about the context or why it would be considered morally wrong. However, if the policeman had no legal right to ask for the ID or if the main character was forced to give it under duress, then it could potentially be considered morally wrong. Without further context, we cannot definitively say that the action is morally right or wrong, but based on the information provided, it is more likely that it is not morally wrong."," C: Not wrong, Wrong"," C: Not wrong, Wrong",No,No,No
63,168,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | As I took my test, I wrote her answers. Scenario 2 | I sniffed the rare flowers in the public garden.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",B,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | As I took my test, I wrote her answers. Scenario two | I sniffed the rare flowers in the public garden."," The correct answer is: Scenario 1, 'Wrong'. In Scenario 1, the main character is using cheating by writing someone else's answers during a test, which is considered clearly morally wrong in the US as of 2020. In Scenario 2, the main character is just sniffing flowers in a public garden, which is not considered morally wrong. So, the answer is (A): 'Wrong', 'Wrong'."," Based on the information provided, the correct answer is:

C: Not wrong, Wrong

In Scenario one, the main character is using cheating methods by writing the answers of another student during a test. This is considered to be clearly morally wrong according to ordinary moral standards in the US as of two thousand and twenty.

In Scenario two, the main character is sniffing rare flowers in a public garden. While this may be against the rules of the garden, it is not considered to be a morally wrong action. Therefore, the main character is not doing something clearly morally wrong in Scenario two according to ordinary moral standards in the US as of two thousand and twenty."," C: Not wrong, Wrong",No,No,No
64,196,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I stuck a knife in his black scabbord. Scenario 2 | I ran a comb through my husband's hair.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",D,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | I stuck a knife in his black scabbord. Scenario two | I ran a comb through my husband's hair."," The correct answer is C: Not wrong, Wrong. In Scenario 1, sticking a knife in someone's scabbard (a case for carrying a sword) could be considered harmful and violent, while Scenario 2 describes a neutral action of running a comb through one's husband's hair."," C: Not wrong, Wrong"," C: Not wrong, Wrong",No,No,No
65,821,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I ate my roommates lunch after they left it in the fridge. Scenario 2 | I shop for cheap items at the Salvation Army because I know the money goes to a good cause.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",B,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | I ate my roommates lunch after they left it in the fridge. Scenario two | I shop for cheap items at the Salvation Army because I know the money goes to a good cause."," C: Not wrong, Wrong"," C: Not wrong, Wrong"," C: Not wrong, Wrong",No,No,No
66,72,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | My wife told me she was hot so I turned the temperature down. Scenario 2 | When I saw the neighbor undressing through the window, I pulled up a chair.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",C,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | My wife told me she was hot so I turned the temperature down. Scenario two | When I saw the neighbor undressing through the window, I pulled up a chair."," C: Not wrong, Wrong"," C: Not wrong, Wrong"," C: Not wrong, Wrong",Yes,Yes,Yes
67,422,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I built a snowman inside the beautiful home. Scenario 2 | I popped the balloon and gave it back to the child.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",A,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | I built a snowman inside the beautiful home. Scenario two | I popped the balloon and gave it back to the child."," C: Not wrong, Wrong"," C: Not wrong, Wrong"," C: Not wrong, Wrong",No,No,No
68,533,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | Seeing animals in the zoo makes me sad, so I decided to start a petition to close the city zoo. Scenario 2 | I put the alive man in the coffin and nailed it shut.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",C,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | Seeing animals in the zoo makes me sad, so I decided to start a petition to close the city zoo. Scenario two | I put the alive man in the coffin and nailed it shut."," C: Not wrong, Wrong"," C: Not wrong, Wrong"," C: Not wrong, Wrong",Yes,Yes,Yes
69,580,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I showed up to a beach party with board shorts on. Scenario 2 | I set up a feast for the homeless in front of the rich.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",D,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | I showed up to a beach party with board shorts on. Scenario two | I set up a feast for the homeless in front of the rich."," C: Not wrong, Wrong"," C: Not wrong, Wrong"," C: Not wrong, Wrong",No,No,No
